compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state,corp_parent_id,corp_parent_name,corp_parent_type,hos_beds,hos_dsch,hos_res,hos_children,hos_majteach,hos_vmajteach,hos_teachint,hos_highdpp,hos_ucburden,hos_highuc,hos_ownership,hos_net_revenue,hos_total_revenue
CHSP00000065,361334,Pike Community Hospital,100 Dawn Lane,Waverly,OH,45690,1,HSI00000008,Adena Health System,Chillicothe,OH,17780403,ADENA HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),25,268,0,0,0,0,0,0,0.1204526127,1,1,31549637,91223600
CHSP00000068,330079,Adirondack Medical Center,2233 State Route 86,Saranac Lake,NY,12983,1,,,,,18381331,ADIRONDACK HEALTH,INTEGRATED DELIVERY NETWORK (IDN),83,1811,0,0,0,0,0,0,0.0532673723,0,1,127682051,352868152
CHSP00000069,272001,Advanced Care Hospital Of Montana,3528 Gabel Road,Billings,MT,59102,0,,,,,18151499,ERNEST HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),40,499,0,0,0,0,0,0,,0,5,25504647,39715328
CHSP00000070,322004,Advanced Care Hospital Of Southern N,4451 East Lohman Avenue,Las Cruces,NM,88011,0,,,,,18151499,ERNEST HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),20,226,0,0,0,0,0,0,,0,5,9599322,21569212
CHSP00000071,042011,Advanced Care Hospital Of White Co.,1200 South Main Street,Searcy,AR,72143,0,HSI00001145,Unity Health,Searcy,AR,18197557,UNITY HEALTH,INTEGRATED DELIVERY NETWORK (IDN),20,182,0,0,0,0,0,0,,0,5,5637818,17469694
CHSP00000073,362038,Advanced Specialty Hosp. Of Toledo,1015 Garden Lake Parkway,Toledo,OH,43614,0,,,,,18156270,COMMUNICARE HEALTH SERVICES,INTEGRATED DELIVERY NETWORK (IDN),40,186,0.17,0,0,0,0.00425,0,,0,5,9258827,22293888
CHSP00000074,390323,Advanced Surgical Hospital,100 Trich Drive Suite 1,Washington,PA,15301,0,,,,,19561034,UNITEDHEALTH GROUP,CORPORATE OWNER,14,326,0,0,0,0,0,0,,0,5,20403760,77717903
CHSP00000076,214013,Adventist Healthcare Shady Grove Medical Center Mental Health,14901 Broschart Rd,Rockville,MD,20850,0,HSI00000012,Adventist Healthcare,Gaithersburg,MD,17773292,ADVENTIST HEALTHCARE,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000077,210057,Ahc Shady Grove Medical Center,9901 Medical Center Drive,Rockville,MD,20850,1,HSI00000012,Adventist Healthcare,Gaithersburg,MD,17773292,ADVENTIST HEALTHCARE,INTEGRATED DELIVERY NETWORK (IDN),397,20335,0,0,0,0,0,0,,0,2,455534469,558047221
CHSP00000078,210016,Ahc White Oak Medical Center,11890 Healing Way,Silver Spring,MD,20904,1,HSI00000012,Adventist Healthcare,Gaithersburg,MD,17773292,ADVENTIST HEALTHCARE,INTEGRATED DELIVERY NETWORK (IDN),220,12829,0,0,0,0,0,0,,0,2,311540371,359303762
CHSP00000079,140065,Adventist Lagrange Memorial Hospital,5101 South Willow Spring Road,La Grange,IL,60525,1,HSI00000010,AdventHealth,Altamonte Springs,FL,17773293,ADVENTHEALTH,INTEGRATED DELIVERY NETWORK (IDN),159,6898,18.39,0,0,0,0.1156603774,0,0.1211964524,1,2,208695754,859972555
CHSP00000080,050121,Adventist Health Hanford,115 Mall Drive,Hanford,CA,93230,1,HSI00000011,Adventist Health,Roseville,CA,17773620,ADVENTIST HEALTH,INTEGRATED DELIVERY NETWORK (IDN),235,9203,20.37,0,0,0,0.0866808511,1,0.0254879867,0,2,359229664,1655022701
CHSP00000081,050470,Adventist Health Selma,1141 Rose Ave,Selma,CA,93662,1,HSI00000011,Adventist Health,Roseville,CA,17773620,ADVENTIST HEALTH,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000082,380060,Adventist Medical Center-Portland,10123 Se Market Street,Portland,OR,97216,1,HSI00000011,Adventist Health,Roseville,CA,17773620,ADVENTIST HEALTH,INTEGRATED DELIVERY NETWORK (IDN),168,7499,0,0,0,0,0,0,0.0168238887,0,2,353620183,1450599480
CHSP00000083,050192,Adventist Health Reedley,372 West Cypress Avenue,Reedley,CA,93654,1,HSI00000011,Adventist Health,Roseville,CA,17773620,ADVENTIST HEALTH,INTEGRATED DELIVERY NETWORK (IDN),49,1469,0.26,0,0,0,0.0053061224,1,0.0425173267,0,2,185892558,431535321
CHSP00000084,213029,Adventist Rehab. Hospt. Of Md,9909 Medical Center Drive,Rockville,MD,20850,0,HSI00000012,Adventist Healthcare,Gaithersburg,MD,17773292,ADVENTIST HEALTHCARE,INTEGRATED DELIVERY NETWORK (IDN),97,2198,0,0,0,0,0,0,,0,2,73394662,126565791
CHSP00000085,140127,Carle  Bromenn Medical Center,1304 Franklin Avenue,Normal,IL,61761,1,HSI00001074,The Carle Foundation,Urbana,IL,17773669,THE CARLE FOUNDATION,INTEGRATED DELIVERY NETWORK (IDN),206,7972,8.91,0,0,0,0.0432524272,0,0.0234896443,0,2,243241634,736480277
CHSP00000088,140208,Advocate Christ Hospital,4440 West 95th Street,Oak Lawn,IL,60453,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),725,36698,248.87,0,1,0,0.3432689655,0,0.0421402116,0,2,1499785407,4730026345
CHSP00000089,140202,Condell Medical Center,801 South Milwaukee Avenue,Libertyville,IL,60048,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),257,13812,0,0,0,0,0,0,0.0732156179,0,2,434284568,1975607662
CHSP00000090,141309,Carle Eureka Hospital,101 South Major Street,Eureka,IL,61530,1,HSI00001074,The Carle Foundation,Urbana,IL,17773669,THE CARLE FOUNDATION,INTEGRATED DELIVERY NETWORK (IDN),25,150,0,0,0,0,0,0,0.1063255212,1,2,24783234,42551209
CHSP00000091,140288,Advocate Good Samaritan Hospital,3815 Highland Avenue,Downers Grove,IL,60515,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),293,14498,0,0,0,0,0,0,0.0610667662,0,2,470163487,1714468918
CHSP00000092,140291,Good Shepherd Hospital,450 West Highway 22,Barrington,IL,60010,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),176,9534,0,0,0,0,0,0,0.0446648751,0,2,383537919,1205087128
CHSP00000093,140182,Advocate North Side Health Network,836 West Wellington Avenue,Chicago,IL,60657,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),237,10752,181.01,0,1,1,0.7637552743,0,0.0590914289,0,2,786171902,2630441961
CHSP00000095,140223,Advocate Lutheran General Hospital,1775 Dempster Street,Park Ridge,IL,60068,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),562,29859,226.11,0,1,0,0.4023309609,0,0.0164250765,0,2,1203340285,3749248712
CHSP00000096,140030,Advocate Sherman Hospital,1425 North Randall Road,Elgin,IL,60123,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),255,12044,0,0,0,0,0,0,0.0916751243,0,2,367034513,1667171395
CHSP00000097,140250,Advocate South Suburban Hospital,17800 South Kedzie Avenue,Hazel Crest,IL,60429,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000098,140048,Advocate Southland Health Network,2320 East 93rd Street,Chicago,IL,60617,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),438,13941,0,0,0,0,0,0,0.1348407864,1,2,381698394,1821724219
CHSP00000100,520088,St. Agnes Hospital,430 East Division Street,Fond Du Lac,WI,54935,1,HSI00000902,SSM Health,Saint Louis,MO,17773664,SSM HEALTH,INTEGRATED DELIVERY NETWORK (IDN),79,6660,0,0,0,0,0,0,0.082878901,0,2,297818339,917876510
CHSP00000101,420082,Aiken Regional Medical Center,302 University Parkway,Aiken,SC,29801,1,HSI00001148,Universal Health Services,Norristown,PA,17774130,UNIVERSAL HEALTH SERVICES INC,INTEGRATED DELIVERY NETWORK (IDN),211,11544,17.9,0,0,0,0.0848341232,0,0.0604639505,0,5,242086252,1879492137
CHSP00000102,363303,Childrens Hospital Medical Center,1 Perkins Square,Akron,OH,44308,1,HSI00000211,Akron Childrens Hospital,Akron,OH,18289807,AKRON CHILDRENS HOSPITAL,INTEGRATED DELIVERY NETWORK (IDN),408,10467,119.83,1,1,0,0.2937009804,0,,0,1,1113626754,2497540474
CHSP00000104,360027,Akron General Medical Center,1 Akron General Avenue,Akron,OH,44307,1,HSI00001078,Cleveland Clinic,Cleveland,OH,17773973,CLEVELAND CLINIC,INTEGRATED DELIVERY NETWORK (IDN),401,24767,138.41,0,1,0,0.3451620948,0,0.0399996937,0,1,828193183,3136603500
CHSP00000106,340070,Alamance Regional Medical Center,1240 Huffman Mill Road,Burlington,NC,27215,1,HSI00000263,Cone Health,Greensboro,NC,17773648,CONE HEALTH,INTEGRATED DELIVERY NETWORK (IDN),176,10864,0,0,0,0,0,0,0.0735865766,0,1,284333872,1027838073
CHSP00000107,050211,Alameda Hospital,2070 Clinton Avenue,Alameda,CA,94501,1,HSI00000018,Alameda Health System,Oakland,CA,18283551,ALAMEDA HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),66,2636,0,0,0,0,0,1,0.0738478667,0,3,106446560,674152301
CHSP00000108,020026,Alaska Native Medical Center,4315 Diplomacy Drive,Anchorage,AK,99508,1,,,,,18138661,INDIAN HEALTH SERVICE,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000109,024002,Alaska Psychiatric Institute,3700 Piper Street,Anchorage,AK,99508,0,,,,,,,,80,619,0,0,0,0,0,0,,0,3,,
CHSP00000110,020017,Alaska Regional Hospital,2801 Debarr Road,Anchorage,AK,99508,1,HSI00000492,HCA Healthcare,Nashville,TN,17773631,HCA HEALTHCARE INC,INTEGRATED DELIVERY NETWORK (IDN),170,7325,0,0,0,0,0,0,0.0547295199,0,5,365084740,2062239824
CHSP00000112,330013,Albany Medical Center Hospital,43 New Scotland Avenue,Albany,NY,12208,1,HSI00000019,Albany Medical Center,Albany,NY,18202149,ALBANY MEDICAL CENTER,INTEGRATED DELIVERY NETWORK (IDN),719,36272,418.9,0,1,0,0.5826147427,0,0.0496916009,0,1,1243744388,3677322193
CHSP00000113,330189,Albany Medical Center South Clinical Campus,25 Hackett Blvd,Albany,NY,12208,0,HSI00000019,Albany Medical Center,Albany,NY,18202149,ALBANY MEDICAL CENTER,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000114,330003,Samaritan Hospital Albany Memorial Campus,600 Northern Blvd,Albany,NY,12204,1,HSI00001106,Trinity Health,Livonia,MI,17818070,TRINITY HEALTH,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000115,33009F,Albany Stratton Veterans Affairs Medical Center,113 Holland Avenue,Albany,NY,12208,0,,,,,18157312,VETERANS HEALTH ADMINISTRATION,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000117,074015,Albert J Solnit Childrens Center -,915 River Road,Middletown,CT,06457,0,,,,,18083505,CONNECTICUT STATE DEPARTMENT OF MENTAL HEALTH AND ADDICTION SERVICES,CORPORATE OWNER,,,,0,,,,,,,3,,
CHSP00000119,23009F,Aleda E. Lutz Department Of Veterans Affairs Medical Center,1500 Weiss Street,Saginaw,MI,48602,0,,,,,18157312,VETERANS HEALTH ADMINISTRATION,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000121,,Alexandria Va Medical Center,"2495 Shreveport Highway, 71 N",Pineville,LA,71360,0,,,,,18157312,VETERANS HEALTH ADMINISTRATION,INTEGRATED DELIVERY NETWORK (IDN),,,,,,,,,,,,,
CHSP00000122,144031,Alexian Brothers Behavioral Health,1650 Moon Lake Boulevard,Hoffman Estates,IL,60169,0,HSI00000055,Ascension Health,Saint Louis,MO,17773929,ASCENSION,INTEGRATED DELIVERY NETWORK (IDN),141,4589,0,0,0,0,0,0,,0,2,82359752,206469272
CHSP00000123,083300,Alfred I Dupont Hosp For Children,1600 Rockland Road,Wilmington,DE,19803,1,HSI00000725,Nemours Childrens Health,Jacksonville,FL,17777268,NEMOURS CHILDRENS HEALTH,INTEGRATED DELIVERY NETWORK (IDN),222,7559,148.79,1,1,1,0.6702252252,0,,0,1,734251514,1762673600
CHSP00000124,050281,Alhambra Hospital,100 South Raymond Avenue,Alhambra,CA,91801,1,,,,,18146292,AHMC HEALTHCARE INC,INTEGRATED DELIVERY NETWORK (IDN),101,4032,0,0,0,0,0,1,0.1046763773,1,5,86005970,541569779
CHSP00000126,301305,Alice Peck Day Memorial Hospital,10 Alice Peck Day Drive,Lebanon,NH,03766,1,HSI00000299,Dartmouth-Hitchcock,Lebanon,NH,18158633,DARTMOUTH HEALTH,INTEGRATED DELIVERY NETWORK (IDN),24,704,0,0,0,0,0,0,0.0635301141,0,1,94262000,176519003
CHSP00000128,231328,Ascension Allegan Hospital,555 Linn Street,Allegan,MI,49010,1,HSI00000055,Ascension Health,Saint Louis,MO,17773929,ASCENSION,INTEGRATED DELIVERY NETWORK (IDN),25,319,0,0,0,0,0,0,0.0434796174,0,2,40861039,70633353
CHSP00000129,341320,Alleghany Memorial Hospital,233 Doctors Street,Sparta,NC,28675,1,HSI00001526,Advocate Health,Charlotte,NC,17773788,ADVOCATE HEALTH INC,INTEGRATED DELIVERY NETWORK (IDN),25,139,0,0,0,0,0,0,0.1048974901,1,1,12170476,32022810
CHSP00000130,390050,Allegheny General Hospital,320 East North Avenue,Pittsburgh,PA,15212,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA,17773987,ALLEGHENY HEALTH NETWORK,INTEGRATED DELIVERY NETWORK (IDN),528,20066,397.66,0,1,1,0.7531439394,0,0.0139097043,0,1,919733578,3697585766
CHSP00000131,390032,Alle-Kiski Medical Center,1301 Carlisle Street,Natrona Heights,PA,15065,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA,17773987,ALLEGHENY HEALTH NETWORK,INTEGRATED DELIVERY NETWORK (IDN),131,2877,0,0,0,0,0,0,0.0455958566,0,1,109024771,500550912
CHSP00000132,454101,Allegiance Behavioral Ctr Of Plainvi,"2601 Dimmit Road, Suite 400",Plainview,TX,79072,0,HSI00000026,Allegiance Health Management,Bossier City,LA,18226046,ALLEGIANCE HEALTH MANAGEMENT,INTEGRATED DELIVERY NETWORK (IDN),20,249,0,0,0,0,0,0,,0,5,4574504,8588871
CHSP00000133,194087,Freedom Behavioral Hospital Of Monro,4402 Sterlington Rd,Monroe,LA,71203,0,HSI00000026,Allegiance Health Management,Bossier City,LA,18226046,ALLEGIANCE HEALTH MANAGEMENT,INTEGRATED DELIVERY NETWORK (IDN),42,930,0,0,0,0,0,0,,0,5,8305899,19307658
CHSP00000134,252013,Allegiance Specialty Hospital Of Gre,"300 South Washington Avenue, 3rd Floor",Greenville,MS,38701,0,HSI00000026,Allegiance Health Management,Bossier City,LA,18226046,ALLEGIANCE HEALTH MANAGEMENT,INTEGRATED DELIVERY NETWORK (IDN),39,186,0,0,0,0,0,0,,0,5,12365899,47646028
CHSP00000136,171373,Allen County Regional Hospital,3066 N. Kentucky St,Iola,KS,66749,1,HSI00000935,Saint Lukes Health System,Kansas City,MO,17773506,SAINT LUKES HEALTH SYSTEM,INTEGRATED DELIVERY NETWORK (IDN),25,252,0,0,0,0,0,0,0.1319555273,1,3,26937126,58236476
CHSP00000139,190133,Allen Parish Hospital,108 Sixth Avenue,Kinder,LA,70648,1,,,,,,,,25,408,0,0,0,0,0,0,0.0134046351,0,3,14625476,37565296
CHSP00000140,421300,Allendale County Hospital,1787 Allendale Fairfax Highway,Fairfax,SC,29827,1,,,,,,,,25,102,0,0,0,0,0,0,0.133532171,1,3,15136603,25134772
