facility_id,facility_name,city,state,zip_code,facility_type,ownership,facility_name_normalized,health_system,msp_gatekeeper,vms_software,msp_exclusive,ehr_system,radius_rule_miles,msp_notes,data_source,confidence,ccn,hos_beds,hos_dsch,corp_parent_name,hos_net_revenue,hos_ucburden
010021,DALE MEDICAL CENTER,OZARK,AL,36360,Acute Care Hospitals,Government - Hospital District or Authority,dale medical center,,,,,,,,cms_gov,high,010021,77.0,1181.0,DALE MEDICAL CENTER,33795241.0,0.0628827367
010022,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,35960,Acute Care Hospitals,Proprietary,floyd cherokee medical center,Advocate Health,AtriumWORKS,Internal,True,Epic,,,cms_gov,high,010022,45.0,985.0,ADVOCATE HEALTH INC,15463745.0,0.1184424544
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,Acute Care Hospitals,Government - Hospital District or Authority,baptist medical center south,HCA Healthcare,HealthTrust,Internal,True,Epic,50.0,,cms_gov,high,010023,348.0,13516.0,HEALTHCARE AUTHORITY FOR BAPTIST HEALTH,595447545.0,0.0489158433
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,Acute Care Hospitals,Voluntary non-profit - Private,jackson hospital clinic inc,,,,,,,,cms_gov,high,010024,278.0,12009.0,,301434107.0,0.0335238731
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,36801,Acute Care Hospitals,Government - Hospital District or Authority,the east alabama healthcare authority,HCA Healthcare,HealthTrust,Internal,True,Epic,50.0,,cms_gov,high,010029,265.0,12527.0,EAST ALABAMA MEDICAL CENTER,419127092.0,0.0315809605
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,Acute Care Hospitals,Government - State,university of alabama hospital,UAB Health System,,,,,,,cms_gov,high,010033,1149.0,47857.0,UAB HEALTH SYSTEM,2534353450.0,0.0574615495
010034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,Acute Care Hospitals,Voluntary non-profit - Private,community hospital inc,,,,,,,,cms_gov,high,010034,37.0,470.0,,16272299.0,0.0514322878
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,Acute Care Hospitals,Government - Hospital District or Authority,cullman regional medical center,Cullman Regional Medical Center,,,,,,,cms_gov,high,010035,137.0,9352.0,CULLMAN REGIONAL MEDICAL CENTER,167078317.0,0.0550331533
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,36420,Acute Care Hospitals,Proprietary,andalusia health,ScionHealth,HealthTrust,Unknown,True,Mixed,50.0,,cms_gov,high,010036,83.0,2281.0,SCIONHEALTH,,0.0430775946
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,Acute Care Hospitals,Government - Hospital District or Authority,huntsville hospital,Huntsville Hospital Health System,,,,,,,cms_gov,high,010039,904.0,50177.0,HEALTHGROUP OF ALABAMA,1278346035.0,0.045134656
010040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,Acute Care Hospitals,Proprietary,gadsden regional medical center,CHS,HealthTrust,Unknown,True,Cerner,50.0,,cms_gov,high,010040,175.0,9016.0,COMMUNITY HEALTH SYSTEMS INC,165166279.0,0.0607797535
010044,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,35570,Acute Care Hospitals,Voluntary non-profit - Private,marion regional medical center,North Mississippi Health Services,,,,,,,cms_gov,high,010044,36.0,259.0,NORTH MISSISSIPPI HEALTH SERVICES,18553479.0,0.1160290345
010045,FAYETTE MEDICAL CENTER,FAYETTE,AL,35555,Acute Care Hospitals,Voluntary non-profit - Other,fayette medical center,DCH Health System,,,,,,,cms_gov,high,010045,35.0,548.0,DCH HEALTH SYSTEM,23027736.0,0.1330849326
010046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,Acute Care Hospitals,Proprietary,riverview regional medical center,HCA Healthcare,HealthTrust,Internal,True,Epic,50.0,,cms_gov,high,010046,256.0,7748.0,PRIME HEALTHCARE SERVICES INC,117484433.0,0.0477538817
010049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,Acute Care Hospitals,Proprietary,medical center enterprise,CHS,HealthTrust,Unknown,True,Cerner,50.0,,cms_gov,high,010049,89.0,3323.0,COMMUNITY HEALTH SYSTEMS INC,61806771.0,0.0526484491
010051,GREENE COUNTY HOSPITAL,EUTAW,AL,35462,Acute Care Hospitals,Voluntary non-profit - Other,greene county hospital,,,,,,,,cms_gov,high,010051,20.0,281.0,,10012454.0,0.156700022
010052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,36853,Acute Care Hospitals,Proprietary,lake martin community hospital,,,,,,,,cms_gov,high,010052,46.0,500.0,IVY CREEK HEALTHCARE,8377611.0,0.0653608912
010055,FLOWERS HOSPITAL,DOTHAN,AL,36302,Acute Care Hospitals,Proprietary,flowers hospital,CHS,HealthTrust,Unknown,True,Cerner,50.0,,cms_gov,high,010055,194.0,12653.0,COMMUNITY HEALTH SYSTEMS INC,235388415.0,0.0425892594
010056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,Acute Care Hospitals,Voluntary non-profit - Private,st vincents birmingham,Ascension,Ascension Travel Program,Internal,True,Epic,,,cms_gov,high,010056,399.0,18405.0,ASCENSION,480049369.0,0.0333936536
010058,BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,Acute Care Hospitals,Government - Hospital District or Authority,bibb medical center,,,,,,,,cms_gov,high,010058,25.0,254.0,,21891855.0,0.0617439712
010059,LAWRENCE MEDICAL CENTER,MOULTON,AL,35650,Acute Care Hospitals,Government - Hospital District or Authority,lawrence medical center,Huntsville Hospital Health System,,,,,,,cms_gov,high,010059,43.0,360.0,HEALTHGROUP OF ALABAMA,12390017.0,0.0581348908
010061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,Acute Care Hospitals,Government - Hospital District or Authority,highlands medical center,Huntsville Hospital Health System,,,,,,,cms_gov,high,010061,45.0,2055.0,HEALTHGROUP OF ALABAMA,53239845.0,0.0664592756
010062,WIREGRASS MEDICAL CENTER,GENEVA,AL,36340,Acute Care Hospitals,Government - Hospital District or Authority,wiregrass medical center,,,,,,,,cms_gov,high,010062,33.0,422.0,,22384163.0,0.1105252135
010065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,35010,Acute Care Hospitals,Voluntary non-profit - Private,russell medical center,UAB Health System,,,,,,,cms_gov,high,010065,45.0,1614.0,UAB HEALTH SYSTEM,78758724.0,0.0090433063
010073,CLAY COUNTY HOSPITAL,ASHLAND,AL,36251,Acute Care Hospitals,Government - Hospital District or Authority,clay county hospital,,,,,,,,cms_gov,high,010073,46.0,736.0,,17618677.0,0.0548404193
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,Acute Care Hospitals,Government - Local,northeast alabama regional medical center,,,,,,,,cms_gov,high,010078,283.0,12678.0,REGIONAL MEDICAL CENTER HEALTH SYSTEM,212168140.0,0.0594806809
010079,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,35611,Acute Care Hospitals,Government - Hospital District or Authority,athens limestone hospital,Huntsville Hospital Health System,,,,,,,cms_gov,high,010079,66.0,3825.0,HEALTHGROUP OF ALABAMA,88872532.0,0.0422210011
010083,BALDWIN HEALTH,FOLEY,AL,36535,Acute Care Hospitals,Proprietary,baldwin health,CHS,HealthTrust,Unknown,True,Cerner,50.0,,cms_gov,high,010083,108.0,5189.0,COMMUNITY HEALTH SYSTEMS INC,180353012.0,0.0611549688
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,35601,Acute Care Hospitals,Government - Hospital District or Authority,decatur morgan hospital decatur campus,Huntsville Hospital Health System,,,,,,,cms_gov,high,010085,310.0,8271.0,HEALTHGROUP OF ALABAMA,170375394.0,0.052577409
010086,NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594,Acute Care Hospitals,Proprietary,northwest medical center,UAB Health System,,,,,,,cms_gov,high,010086,28.0,856.0,UAB HEALTH SYSTEM,23666364.0,0.0514733064
010087,USA HEALTH UNIVERSITY HOSPITAL,MOBILE,AL,36617,Acute Care Hospitals,Government - State,usa health university hospital,University of South Alabama Hospitals,,,,,,,cms_gov,high,010087,264.0,12610.0,UNIVERSITY OF SOUTH ALABAMA HOSPITALS,375249874.0,0.0753814311
010089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,35502,Acute Care Hospitals,Proprietary,walker baptist medical center,Tenet Healthcare,Trusted Resource Associates,Internal,True,Cerner,,,cms_gov,high,010089,207.0,5702.0,TENET HEALTHCARE,118146783.0,0.0939003069
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",MOBILE,AL,36608,Acute Care Hospitals,Voluntary non-profit - Church,usa health hca providence hospital llc,HCA Healthcare,HealthTrust,Internal,True,Epic,50.0,,cms_gov,high,010090,349.0,13071.0,UNIVERSITY OF SOUTH ALABAMA HOSPITALS,246853278.0,0.0669714264
010091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,36451,Acute Care Hospitals,Government - Hospital District or Authority,grove hill memorial hospital,,,,,,,,cms_gov,high,010091,21.0,448.0,,9322262.0,0.1162773353
010092,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,35401,Acute Care Hospitals,Government - Hospital District or Authority,dch regional medical center,DCH Health System,,,,,,,cms_gov,high,010092,398.0,24572.0,DCH HEALTH SYSTEM,532570934.0,0.0597287506
010095,HALE COUNTY HOSPITAL,GREENSBORO,AL,36744,Acute Care Hospitals,Government - Hospital District or Authority,hale county hospital,,,,,,,,cms_gov,high,010095,28.0,326.0,,9506810.0,0.0991021371
010097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,36092,Acute Care Hospitals,Proprietary,elmore community hospital,,,,,,,,cms_gov,high,010097,33.0,868.0,IVY CREEK HEALTHCARE,13143685.0,0.0907763705
010099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,36426,Acute Care Hospitals,Government - Hospital District or Authority,d w mcmillan memorial hospital,,,,,,,,cms_gov,high,010099,46.0,1089.0,,31640053.0,0.0241767157
010100,THOMAS HOSPITAL,FAIRHOPE,AL,36532,Acute Care Hospitals,Voluntary non-profit - Private,thomas hospital,Infirmary Health System,,,,,,,cms_gov,high,010100,164.0,11925.0,INFIRMARY HEALTH SYSTEM INC,244683663.0,0.0372920103
010101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,35160,Acute Care Hospitals,Voluntary non-profit - Private,citizens baptist medical center,Tenet Healthcare,Trusted Resource Associates,Internal,True,Cerner,,,cms_gov,high,010101,103.0,1481.0,TENET HEALTHCARE,32935663.0,0.1459558341
010103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35211,Acute Care Hospitals,Voluntary non-profit - Church,princeton baptist medical center,Tenet Healthcare,Trusted Resource Associates,Internal,True,Cerner,,,cms_gov,high,010103,255.0,9856.0,TENET HEALTHCARE,211665582.0,0.0854256064
010104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,Acute Care Hospitals,Proprietary,grandview medical center,CHS,HealthTrust,Unknown,True,Cerner,50.0,,cms_gov,high,010104,404.0,24715.0,COMMUNITY HEALTH SYSTEMS INC,615438012.0,0.0196517359
010108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,36067,Acute Care Hospitals,Government - Hospital District or Authority,prattville baptist hospital,HCA Healthcare,HealthTrust,Internal,True,Epic,50.0,,cms_gov,high,010108,55.0,2811.0,HEALTHCARE AUTHORITY FOR BAPTIST HEALTH,53478221.0,0.0582448854
010110,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,36089,Acute Care Hospitals,Proprietary,bullock county hospital,,,,,,,,cms_gov,high,010110,17.0,,,23610710.0,0.0200248696
010112,WHITFIELD REGIONAL HOSPITAL,DEMOPOLIS,AL,36732,Acute Care Hospitals,Government - Hospital District or Authority,whitfield regional hospital,UAB Health System,,,,,,,cms_gov,high,010112,47.0,1455.0,UAB HEALTH SYSTEM,39634754.0,0.0547073045
010113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,36607,Acute Care Hospitals,Voluntary non-profit - Private,mobile infirmary medical center,Infirmary Health System,,,,,,,cms_gov,high,010113,498.0,22711.0,INFIRMARY HEALTH SYSTEM INC,542193412.0,0.0384547362
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,35022,Acute Care Hospitals,Government - Hospital District or Authority,medical west an affiliate of uab health system,UAB Health System,,,,,,,cms_gov,high,010114,204.0,6074.0,UAB HEALTH SYSTEM,145241555.0,0.0754860596
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,36701,Acute Care Hospitals,Proprietary,vaughan regional medical center parkway campus,ScionHealth,HealthTrust,Unknown,True,Mixed,50.0,,cms_gov,high,010118,109.0,3695.0,SCIONHEALTH,62966048.0,0.0513329551
010120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,36460,Acute Care Hospitals,Government - Hospital District or Authority,monroe county hospital,,,,,,,,cms_gov,high,010120,46.0,810.0,,22336410.0,0.0824021298
010125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,35565,Acute Care Hospitals,Proprietary,lakeland community hospital,,,,,,,,cms_gov,high,010125,40.0,695.0,,17225087.0,0.0980800403
010126,TROY REGIONAL MEDICAL CENTER,TROY,AL,36081,Acute Care Hospitals,Government - Federal,troy regional medical center,,,,,,,,cms_gov,high,010126,41.0,986.0,TROY REGIONAL MEDICAL CENTER,38954430.0,0.0643237903
010128,JACKSON MEDICAL CENTER,JACKSON,AL,36545,Acute Care Hospitals,Proprietary,jackson medical center,,,,,,,,cms_gov,high,010128,35.0,530.0,GILLIARD HEALTH SERVICES,14123216.0,0.0490061248
010129,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,Acute Care Hospitals,Voluntary non-profit - Private,north baldwin infirmary,Infirmary Health System,,,,,,,cms_gov,high,010129,58.0,2476.0,INFIRMARY HEALTH SYSTEM INC,55309925.0,0.0563234656
010130,ST VINCENT'S ST CLAIR,PELL CITY,AL,35125,Acute Care Hospitals,Voluntary non-profit - Private,st vincents st clair,Ascension,Ascension Travel Program,Internal,True,Epic,,,cms_gov,high,010130,40.0,2150.0,ASCENSION,40820836.0,0.1037465601
010131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,35801,Acute Care Hospitals,Proprietary,crestwood medical center,CHS,HealthTrust,Unknown,True,Cerner,50.0,,cms_gov,high,010131,164.0,8715.0,COMMUNITY HEALTH SYSTEMS INC,258934570.0,0.0242382899
010138,HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,36925,Acute Care Hospitals,Government - Hospital District or Authority,hill hospital of sumter county,,,,,,,,cms_gov,high,010138,33.0,279.0,,4113653.0,0.0751858183
010139,BROOKWOOD BAPTIST MEDICAL CENTER,VESTAVIA,AL,35216,Acute Care Hospitals,Proprietary,brookwood baptist medical center,Tenet Healthcare,Trusted Resource Associates,Internal,True,Cerner,,,cms_gov,high,010139,429.0,11857.0,TENET HEALTHCARE,317359585.0,0.0385590578
010144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,36608,Acute Care Hospitals,Proprietary,springhill medical center,,,,,,,,cms_gov,high,010144,189.0,9041.0,,226195419.0,0.0447848197
010148,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,36401,Acute Care Hospitals,Proprietary,evergreen medical center,,,,,,,,cms_gov,high,010148,44.0,906.0,GILLIARD HEALTH SERVICES,11919247.0,0.0771353028
010149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,36117,Acute Care Hospitals,Government - Hospital District or Authority,baptist medical center east,HCA Healthcare,HealthTrust,Internal,True,Epic,50.0,,cms_gov,high,010149,208.0,11308.0,HEALTHCARE AUTHORITY FOR BAPTIST HEALTH,169539746.0,0.03923754
01014F,BIRMINGHAM VA MEDICAL CENTER,BIRMINGHAM,AL,35233,Acute Care - Veterans Administration,Veterans Health Administration,birmingham va medical center,,,,,,,,cms_gov,high,01014F,,,VETERANS HEALTH ADMINISTRATION,,
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,AL,36037,Acute Care Hospitals,Proprietary,the health care authority of the city of greenville lv stabler hospital,,,,,,,,cms_gov,high,010150,44.0,701.0,,19186024.0,0.1407340439
010157,NORTH ALABAMA SHOALS HOSPITAL,MUSCLE SHOALS,AL,35661,Acute Care Hospitals,Proprietary,north alabama shoals hospital,LifePoint Health,HealthTrust,Unknown,True,Mixed,50.0,,cms_gov,high,010157,53.0,1227.0,LIFEPOINT HEALTH,31154284.0,0.0839425606
010158,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,35653,Acute Care Hospitals,Proprietary,russellville hospital,,,,,,,,cms_gov,high,010158,51.0,938.0,,48590057.0,0.059766847
010164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,35150,Acute Care Hospitals,Government - Hospital District or Authority,coosa valley medical center,,,,,,,,cms_gov,high,010164,122.0,2871.0,COOSA VALLEY MEDICAL CENTER,72950869.0,0.0458523193
010168,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,36867,Acute Care Hospitals,Government - State,jack hughston memorial hospital,,,,,,,,cms_gov,high,010168,47.0,2362.0,HUGHSTON CLINIC,79983752.0,0.0305973891
010169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502,Acute Care Hospitals,Government - Hospital District or Authority,atmore community hospital,Infirmary Health System,,,,,,,cms_gov,high,010169,49.0,726.0,,17797192.0,0.0455314418
010173,ST VINCENT'S CHILTON,CLANTON,AL,35045,Acute Care Hospitals,Voluntary non-profit - Church,st vincents chilton,Ascension,Ascension Travel Program,Internal,True,Epic,,,cms_gov,high,010173,26.0,679.0,ASCENSION,29069858.0,0.1294163868
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,MONTGOMERY,AL,36109,Acute Care - Veterans Administration,Veterans Health Administration,va central alabama healthcare system montgomery,HCA Healthcare,HealthTrust,Internal,True,Epic,50.0,,cms_gov,high,01019F,,,VETERANS HEALTH ADMINISTRATION,,
01021F,TUSCALOOSA VA MEDICAL CENTER,TUSCALOOSA,AL,35404,Acute Care - Veterans Administration,Veterans Health Administration,tuscaloosa va medical center,,,,,,,,cms_gov,high,01021F,,,VETERANS HEALTH ADMINISTRATION,,
011300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518,Critical Access Hospitals,Government - Local,washington county hospital,,,,,Meditech / Cerner CommunityWorks,,,cms_gov,high,011300,15.0,189.0,,18607819.0,0.0447908228
011302,RED BAY HOSPITAL,RED BAY,AL,35582,Critical Access Hospitals,Government - Hospital District or Authority,red bay hospital,Huntsville Hospital Health System,,,,Meditech / Cerner CommunityWorks,,,cms_gov,high,011302,25.0,154.0,HEALTHGROUP OF ALABAMA,8211616.0,0.028164452
011304,OCHSNER CHOCTAW GENERAL,BUTLER,AL,36904,Critical Access Hospitals,Voluntary non-profit - Private,ochsner choctaw general,Ochsner Health,Ochsner In-House Agency,Internal,True,Epic,,,cms_gov,high,011304,25.0,53.0,OCHSNER HEALTH SYSTEM,18675948.0,0.0797934043
011305,ST VINCENTS BLOUNT,ONEONTA,AL,35121,Critical Access Hospitals,Voluntary non-profit - Private,st vincents blount,Ascension,Ascension Travel Program,Internal,True,Epic,,,cms_gov,high,011305,25.0,770.0,ASCENSION,25155147.0,0.0829758862
011306,TANNER MEDICAL CENTER-EAST ALABAMA,WEDOWEE,AL,36278,Critical Access Hospitals,Government - Hospital District or Authority,tanner medical centereast alabama,Tanner Health System,,,,Meditech / Cerner CommunityWorks,,,cms_gov,high,011306,15.0,242.0,TANNER HEALTH SYSTEM,15032450.0,0.1647278029
013300,THE CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,35233,Childrens,Voluntary non-profit - Private,the childrens hospital of alabama,Childrens of Alabama,,,,,,,cms_gov,high,013300,351.0,16130.0,CHILDRENS OF ALABAMA,860206699.0,
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,MOBILE,AL,36604,Childrens,Government - State,usa health childrens womens hospital,University of South Alabama Hospitals,,,,,,,cms_gov,high,013301,245.0,10103.0,UNIVERSITY OF SOUTH ALABAMA HOSPITALS,273503514.0,
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,BIRMINGHAM,AL,35212,Psychiatric,Proprietary,hill crest behavioral health services,Universal Health Services,,,,,,,cms_gov,high,014000,103.0,318.0,UNIVERSAL HEALTH SERVICES INC,21659107.0,
014006,MOUNTAIN VIEW HOSPITAL,GADSDEN,AL,35902,Psychiatric,Proprietary,mountain view hospital,,,,,,,,cms_gov,high,014006,,,,,
014007,BRYCE HOSPITAL,TUSCALOOSA,AL,35404,Psychiatric,Government - State,bryce hospital,,,,,,,,cms_gov,high,014007,98.0,48.0,,76377441.0,
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,TUSCALOOSA,AL,35401,Psychiatric,Government - State,mary s harper geriatric psychiatry center,,,,,,,,cms_gov,high,014012,126.0,69.0,,26754082.0,
014014,BAYPOINTE BEHAVIORAL HEALTH,MOBILE,AL,36693,Psychiatric,Voluntary non-profit - Other,baypointe behavioral health,,,,,,,,cms_gov,high,014014,,,ALTAPOINTE HEALTH SYSTEMS INC,,
014015,BEACON CHILDREN'S HOSPITAL,LUVERNE,AL,36049,Psychiatric,Proprietary,beacon childrens hospital,,,,,,,,cms_gov,high,014015,,,,,
014016,"SANCTUARY AT THE WOODLANDS, THE",CULLMAN,AL,35055,Psychiatric,Proprietary,sanctuary at the woodlands the,,,,,,,,cms_gov,high,014016,,,USA HEALTHCARE ALABAMA LLC,,
014017,EASTPOINTE HOSPITAL,DAPHNE,AL,36526,Psychiatric,Voluntary non-profit - Other,eastpointe hospital,,,,,,,,cms_gov,high,014017,82.0,545.0,ALTAPOINTE HEALTH SYSTEMS INC,80724893.0,
014018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,HUNTSVILLE,AL,35806,Psychiatric,Proprietary,unity psychiatric care huntsville,,,,,,,,cms_gov,high,014018,20.0,379.0,AMERICAN HEALTH PARTNERS,5151658.0,
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,Acute Care Hospitals,Voluntary non-profit - Church,providence alaska medical center,Providence,Aya Healthcare,LotusOne,True,Epic,50.0,WARNING: Aya owns both the contract and the software (LotusOne). Outside agencies face a sub-vendor penalty unless the role is hard-to-fill (where penalties may be waived to speed up hiring).,cms_gov,high,020001,401.0,14684.0,PROVIDENCE,741184958.0,0.0722062086
020006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,99645,Acute Care Hospitals,Voluntary non-profit - Other,matsu regional medical center,CHS,HealthTrust,Unknown,True,Cerner,50.0,,cms_gov,high,020006,125.0,5286.0,COMMUNITY HEALTH SYSTEMS INC,301756805.0,0.014660887
020008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,Acute Care Hospitals,Government - Local,bartlett regional hospital,,,,,,,,cms_gov,high,020008,45.0,1493.0,BARTLETT REGIONAL HOSPITAL,125296042.0,0.0088953924
020012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,99701,Acute Care Hospitals,Voluntary non-profit - Private,fairbanks memorial hospital,Foundation Health Partners,,,,,,,cms_gov,high,020012,122.0,5852.0,FOUNDATION HEALTH PARTNERS,318311036.0,0.0500488665
020017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,Acute Care Hospitals,Proprietary,alaska regional hospital,HCA Healthcare,HealthTrust,Internal,True,Epic,50.0,,cms_gov,high,020017,170.0,7325.0,HCA HEALTHCARE INC,365084740.0,0.0547295199
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,Acute Care Hospitals,Tribal,yukon kuskokwim delta reg hospital,,,,,,,,cms_gov,high,020018,,,INDIAN HEALTH SERVICE,,
020024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669,Acute Care Hospitals,Voluntary non-profit - Other,central peninsula general hospital,,,,,,,,cms_gov,high,020024,49.0,2634.0,CENTRAL PENINSULA GENERAL HOSPITAL INC,255145292.0,0.0244084378
020026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,Acute Care Hospitals,Government - Federal,alaska native medical center,,,,,,,,cms_gov,high,020026,,,INDIAN HEALTH SERVICE,,
